temperature in °C,description,date,temperature,humidity,wind_speed,pressure
12.41,Clouds,2025-10-14T06:56:25.246Z,,,,
11.69,Clear,2025-10-14T05:56:16.959Z,,,,
11.65,Clouds,2025-10-14T04:56:20.329Z,,,,
12,Clouds,2025-10-14T03:56:16.832Z,,,,
12,Clear,2025-10-14T03:25:10.716Z,,,,
12,Clear,2025-10-14T02:14:24.494Z,,,,
12.35,Clear,2025-10-13T23:56:17.490Z,,,,
13.07,Clouds,2025-10-13T22:56:13.853Z,,,,
13.12,Clouds,2025-10-13T21:56:18.235Z,,,,
13.54,Clouds,2025-10-13T20:56:19.745Z,,,,
13.85,Clear,2025-10-13T19:56:15.195Z,,,,
14.19,Clear,2025-10-13T18:56:15.180Z,,,,
14.2,Clouds,2025-10-13T17:56:16.814Z,,,,
14.25,Clouds,2025-10-13T16:56:30.463Z,,,,
14.92,Clouds,2025-10-13T15:56:21.226Z,,,,
15.33,Clouds,2025-10-13T14:56:26.346Z,,,,
15.42,Clouds,2025-10-13T13:56:22.406Z,,,,
15.96,Clouds,2025-10-13T13:20:36.545Z,,,,
15.99,Clouds,2025-10-13T11:56:15.220Z,,,,
15.99,Clouds,2025-10-13T10:56:14.791Z,,,,
14.93,Clouds,2025-10-13T09:56:21.562Z,,,,
14.25,Clear,2025-10-13T08:58:05.891Z,,,,
13.09,Clouds,2025-10-13T07:56:15.383Z,,,,
,,2025-10-14,12.41,82,3.58,1022
,,2025-10-14 12:59:03,12.4,82,3.6,1022
,,2025-10-14 12:59:45,12.4,82,3.6,1022
,,2025-10-14 13:00:57,18.9,63,4.3,1009
,,2025-10-14 13:09:18,18.9,63,4.3,1009.3388878767826
,,2025-10-14 13:12:11,18.9,63,4.3,1009.3388878767826
